File Name,Status for average values,Average,Variance,Status for max values,Maximum,Date,Details
sub-0,['🟢 In the threshold'],-7.716391423442588,7.282737919939329e-24,['🔴 Above the threshold'],61414.5,01-02-23 21:15:32,Nothing added yet
sub-0,['🟢 In the threshold'],-6.867169307536397,6.997539229637706e-24,['🔴 Above the threshold'],61414.5,02-02-23 21:22:34,Nothing added yet
sub-0,['🟢 In the threshold'],-0.5118879576791305,4.0322111110290504e-26,['🔴 Above the threshold'],4724.857377319337,06-12-20 02:02:32,Nothing added yet
sub-0,['🟢 In the threshold'],-21.22561563300549,1.8917769334929676e-25,['🔴 Above the threshold'],12304.13265060425,07-12-18 00:39:11,Nothing added yet
sub-0,['🟢 In the threshold'],-1.356751293206727,5.851396155957157e-26,['🔴 Above the threshold'],3089.8490702819827,08-08-17 23:34:58,Nothing added yet
sub-0,['🟢 In the threshold'],-202.70354843148476,3.1077916733521885e-24,['🔴 Above the threshold'],6841.3525,11-12-13 04:55:14,Nothing added yet
sub-0,['🟢 In the threshold'],-0.015483522763044136,1.0689446892315222e-26,['🔴 Above the threshold'],2053.721664276123,11-12-13 05:40:14,Nothing added yet
sub-0,['🔴 Above the threshold'],813.5428528422934,1.1879549591451023e-22,['🔴 Above the threshold'],59783.34999999999,14-04-24 23:48:53,Nothing added yet
sub-0,['🟢 In the threshold'],0.6289449404822186,4.441135703603343e-26,['🔴 Above the threshold'],5724.121989593506,14-08-13 02:59:50,Nothing added yet
sub-0,['🔴 Above the threshold'],1409.6027986925617,8.121212348222771e-23,['🔴 Above the threshold'],59783.34999999999,15-04-24 00:02:00,Nothing added yet
sub-0,['🔴 Above the threshold'],1705.80426299698,9.09258517633639e-23,['🔴 Above the threshold'],59783.34999999999,18-04-24 23:04:07,Nothing added yet
sub-0,['🟢 In the threshold'],-1.7148414130100553,2.886255073838318e-25,['🔴 Above the threshold'],13453.833779907225,20-02-24 21:59:36,Nothing added yet
sub-0,['🟢 In the threshold'],-1.7148414130100553,2.886255073838318e-25,['🔴 Above the threshold'],13453.833779907225,20-02-24 21:59:36,Nothing added yet
sub-0,['🟢 In the threshold'],0.3367217887922502,4.095147668321002e-26,['🔴 Above the threshold'],7791.635,25-12-13 04:35:54,Nothing added yet
sub-0,['🔴 Above the threshold'],1617.2522076784207,1.1019269347629226e-22,['🔴 Above the threshold'],59609.299999999996,26-06-24 00:51:23,Nothing added yet
sub-0,['🔴 Above the threshold'],1762.70860867811,9.639346247551235e-23,['🔴 Above the threshold'],59609.299999999996,26-06-24 02:19:26,Nothing added yet
sub-0,['🔴 Above the threshold'],1768.2506164331928,1.0566585498117803e-22,['🔴 Above the threshold'],59609.299999999996,26-06-24 02:37:15,Nothing added yet
empty-room-test,['🔴 Above the threshold'],1065.52243651589,6.464529267997415e-23,['🔴 Above the threshold'],59609.299999999996,28-06-24 02:38:33,Nothing added yet
empty-room-test,['🔴 Above the threshold'],153.78338085816992,6.906301517668135e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:53,Nothing added yet
empty-room-test,['🔴 Above the threshold'],183.32338348097863,6.906461905643662e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:53,Nothing added yet
empty-room-test,['🔴 Above the threshold'],154.70629354435633,6.908493246769755e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:53,Nothing added yet
empty-room-test,['🔴 Above the threshold'],149.9933135959826,6.972127339766436e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:53,Nothing added yet
empty-room-test,['🔴 Above the threshold'],152.2069474044839,6.91011589372933e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:53,Nothing added yet
empty-room-test,['🔴 Above the threshold'],261.89220026434805,6.492785691228824e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:53,Nothing added yet
empty-room-test,['🔴 Above the threshold'],493.46784695323106,5.700837244492726e-23,['🔴 Above the threshold'],59451.3,28-06-24 06:10:54,Nothing added yet
empty-room-test,['🔴 Above the threshold'],768.3977077187008,6.378226756245439e-23,['🔴 Above the threshold'],59783.34999999999,28-06-24 06:10:54,Nothing added yet
empty-room-test,['🔴 Above the threshold'],1000.857742912709,7.111409933664894e-23,['🔴 Above the threshold'],59319.950000000004,28-06-24 06:10:54,Nothing added yet
empty-room-test,['🔴 Above the threshold'],809.9277887688409,6.803546023798518e-23,['🔴 Above the threshold'],59319.950000000004,28-06-24 06:10:54,Nothing added yet
